Sentence,Average Surprisal
"Two years later , at WrestleMania XXX , Lesnar defeated The Undertaker to end his undefeated streak at the premier annual event .",12.398159859231988
"Manila is also the site of the Philippine General Hospital , the tertiary state @-@ owned hospital administered and operated by the University of the Philippines Manila .",10.898442581669034
"For the next three decades , Chad became embroiled in civil war and experienced invasions by Libya and upheavals by Sudanese @-@ backed rebels ; the civil war ended in 1991 , although rebel threats had persisted between then and 2008 .",12.57919072329863
The selectivity of some hydroxylations may be drastically improved in some cases with the addition of coordinating groups alpha to the oxaziridine ring as oxaziridines 3b and 3c in the table above .,12.994129485898776
"The genus was named for Attalus III Philometor , king of Pergamon , known for his interest in medicinal plants .",12.164989851173324
"Kershaw 's streak was , at the time , tied for the fifteenth longest scoreless inning streak in MLB history .",12.133563829474513
Several government agencies have set up their headquarters in Quezon City but several key government offices still reside in Manila .,13.69498830251476
"The studio soon approached Mendes with a deal to direct for the minimum salary allowed under Directors Guild of America rules — $ 150 @,@ 000 .",12.008936252601403
"The Tetrarchs of ' A ' Squadron were to play an integral part in this reconnaissance role due to their speed , but the squadron 's strength of twenty tanks was severely depleted by the time it landed in Normandy .",12.201097254964472
"Howard was also clutch in their next game , hitting a free throw with a less than one second remaining to beat Pitt in a dramatic finish .",12.309922682154816
"Seeing the helicopters on the morning of 5 January , they realized the Americans would not remain in the city much longer .",11.5331565631288
"Despite Category 4 winds on Spanish Wells , only five houses were destroyed , although most of the remaining dwellings lost their roofs .",12.319115405381336
"When the war began turning in favour of the Allies , the Commission was able to begin restoring its First World War cemeteries and memorials .",11.328590906560173
"The iPlayer version had 1 @,@ 467 @,@ 220 views , making it the most popular TV show on iPlayer over Christmas .",11.593903627888704
"The new VIII Corps , under the overall command of Édouard Mortier , included three infantry divisions and a division of cavalry ( see Order of Battle below ) .",12.050824896172662
